标签组,主表对应字段,标签值,是否单选,标签来源状态,主表使用次数,标签说明,备注,建议处理
关键人物名称,关键人物名称,陈奕伦,是,词表建议且主表已使用,1,记录具体人物或群体,,
关键人物名称,关键人物名称,57岁客户、家庭顾问团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,HWP健康财富规划师,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,万婷,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,义工老师们,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,乡村振兴项目运营团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,何振京,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,刘晓甦,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,北航社区养联体项目组,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,吴伟华,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,吴园四兄妹,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,吴宪,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,吴秉雄,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,和平府项目团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,哈工大老校长、夜班照护团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,夏英,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,孙光谷,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,孙剑平 / 孙东梅 / 孙翠,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,工大杨,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,张先生家人,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,张敬,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,徐伯权,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,徐伯权 / 肖自心 / 洪华生 / 许榕生,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,徐晓欢,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,徐朦宇,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,易红,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,曹建新,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,朱玲,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,李天池,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,李艺锋,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,杨文英,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,格西王姆,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,梁伯龙,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,泰康人寿山东分公司义工,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,泰康保险集团,是,主表出现但词表未覆盖,6,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,泰康公益团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,泰康同济（武汉）医院团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,洛桑旦增,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,潘云秀,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,潘爱兰 / 朱安人,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,王倩,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,王鼎盛,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,社区长者教师,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,葛明,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,詹伟勤,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,谭信山,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,赵丽丽,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,赵文蔷,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,返乡青年团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,郑洞天,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,郝迪、曾敏,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,钱理群,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,钱理群 / 崔可忻,是,主表出现但词表未覆盖,2,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,陆林锋、杨萍、格西王姆,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,陈东升、溢彩公益基金会团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,陈东升、邱建伟团队,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,陈文惠,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,韩玉霞,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,顾月影,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,顾祖萍,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,马中骐,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
关键人物名称,关键人物名称,鹏园旅居夫妇,是,主表出现但词表未覆盖,1,记录具体人物或群体,,需确认是否纳入标准词表
人物主题标签,人物主题标签,专业表达,否,词表建议且主表已使用,6,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,业务创新,否,词表建议且主表已使用,5,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,人生转折,否,词表建议且主表已使用,19,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,价值传递,否,词表建议且主表已使用,8,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,全生命周期服务,否,词表建议且主表已使用,4,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,公益与责任,否,词表建议且主表已使用,8,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,关键决策,否,词表建议且主表已使用,3,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,关键应对,否,词表建议且主表已使用,3,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,创业与起步,否,词表建议且主表已使用,5,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,团队协作,否,词表建议且主表已使用,3,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,团队带领,否,词表建议且主表已使用,4,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,家庭与成长,否,词表建议且主表已使用,15,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,战略思想,否,词表建议且主表已使用,8,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,战略执行,否,词表建议且主表已使用,5,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,日常坚守,否,词表建议且主表已使用,14,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,时代判断,否,词表建议且主表已使用,5,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,真实受益,否,词表建议且主表已使用,21,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,管理实践,否,词表建议且主表已使用,3,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,行业影响,否,词表建议且主表已使用,3,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,需求洞察,否,词表建议且主表已使用,2,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,领导风格,否,词表建议但主表未使用,0,备选标签，在上述标签不够情况下启用,最好单选,
人物主题标签,人物主题标签,真实收益,否,主表出现但词表未覆盖,2,备选标签，在上述标签不够情况下启用,最好单选,需确认是否纳入标准词表
价值观标签,价值观标签,不畏艰辛,否,词表建议且主表已使用,3,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,以人为本,否,词表建议且主表已使用,8,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,关爱生命,否,词表建议且主表已使用,17,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,创新永续,否,词表建议且主表已使用,14,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,初心不改,否,词表建议且主表已使用,11,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,商业向善,否,词表建议且主表已使用,19,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,尊重生命,否,词表建议且主表已使用,12,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,战无不胜,否,词表建议且主表已使用,1,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,敢打敢拼,否,词表建议且主表已使用,2,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,爱司敬业,否,词表建议且主表已使用,4,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
价值观标签,价值观标签,礼赞生命,否,词表建议且主表已使用,18,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,最好单选,
重要程度,重要程度,A,是,词表建议但主表未使用,0,便于后续筛选重点故事,,
重要程度,重要程度,B,是,词表建议但主表未使用,0,便于后续筛选重点故事,,
重要程度,重要程度,C,是,词表建议但主表未使用,0,便于后续筛选重点故事,,
重要程度,重要程度,S,是,词表建议但主表未使用,0,便于后续筛选重点故事,,
是否30周年重点故事,是否30周年重点故事,否,是,词表建议但主表未使用,0,筛选30周年重点池,,
是否30周年重点故事,是否30周年重点故事,备选,是,词表建议但主表未使用,0,筛选30周年重点池,,
是否30周年重点故事,是否30周年重点故事,是,是,词表建议但主表未使用,0,筛选30周年重点池,,
是否适合对外传播,是否适合对外传播,公开可用,是,词表建议但主表未使用,0,用于内容安全管理,务必和审稿流程配套；对外使用前先筛公开级别,
是否适合对外传播,是否适合对外传播,内部参考,是,词表建议但主表未使用,0,用于内容安全管理,务必和审稿流程配套；对外使用前先筛公开级别,
是否适合对外传播,是否适合对外传播,待内部审批,是,词表建议但主表未使用,0,用于内容安全管理,务必和审稿流程配套；对外使用前先筛公开级别,
是否适合对外传播,是否适合对外传播,敏感待审,是,词表建议但主表未使用,0,用于内容安全管理,务必和审稿流程配套；对外使用前先筛公开级别,
传播用途标签,传播用途标签,党建文化,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,公众号专题,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,周年册,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,媒体采访,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,展厅展陈,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,案例研究,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,海报长图,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,短视频,否,词表建议但主表未使用,0,便于新项目启动时调用,,
传播用途标签,传播用途标签,领导讲话,否,词表建议但主表未使用,0,便于新项目启动时调用,,
